Org Size,Offered Food,Type,Time,Days,Advertisements,Expected,Actual
Small (1-50 members),Yes,Other (Please specify),"Morning (8:00 AM - 12:00 PM),Afternoon (12:00 PM - 4:00 PM)","Friday,Saturday","Listservs,Physical Flyer,Word of mouth",50,20
Small (1-50 members),Yes,Cultural/Festival,Night (8:00 PM onwards),Saturday,"Listservs,Physical Flyer,Instagram/Social media,Word of mouth",800,1000
Small (1-50 members),Yes,Social/Networking Event,"Afternoon (12:00 PM - 4:00 PM),Evening (4:00 PM - 8:00 PM)",Friday,Instagram/Social media,40,30
Large (200+ members),Yes,Conference/Seminar,Evening (4:00 PM - 8:00 PM),"Tuesday,Thursday","Listservs,Instagram/Social media,Word of mouth",200,150
Small (1-50 members),Yes,Conference/Seminar,Evening (4:00 PM - 8:00 PM),Friday,"Listservs,Instagram/Social media,Word of mouth",30,15
Small (1-50 members),Yes,Academic Competition,"Morning (8:00 AM - 12:00 PM),Afternoon (12:00 PM - 4:00 PM)",Saturday,"Listservs,Instagram/Social media,Word of mouth",35,45
Medium (50-200 members),Yes,Social/Networking Event,Evening (4:00 PM - 8:00 PM),Friday,"Listservs,Instagram/Social media,Word of mouth",30,29
Small (1-50 members),Yes,Social/Networking Event,Evening (4:00 PM - 8:00 PM),Tuesday,"Listservs,Instagram/Social media,Word of mouth",20,20
Medium (50-200 members),Yes,Conference/Seminar,All-day Event,"Friday,Saturday,Sunday","Instagram/Social media,Word of mouth",100,120
Small (1-50 members),Yes,Conference/Seminar,Night (8:00 PM onwards),Tuesday,"Listservs,Word of mouth",30,5
Small (1-50 members),Yes,Social/Networking Event,Night (8:00 PM onwards),"Monday,Tuesday","Listservs,Word of mouth",30,30
Small (1-50 members),Yes,Workshop/Training,Night (8:00 PM onwards),Monday,"Listservs,Word of mouth",30,5
Small (1-50 members),Yes,Workshop/Training,Night (8:00 PM onwards),Monday,"Listservs,Word of mouth",30,20
Small (1-50 members),Yes,Workshop/Training,"Evening (4:00 PM - 8:00 PM),Night (8:00 PM onwards)",Sunday,"Listservs,Instagram/Social media,Word of mouth",20,3
Small (1-50 members),Yes,Social/Networking Event,Night (8:00 PM onwards),Saturday,"Listservs,Instagram/Social media,Word of mouth",30,2
Small (1-50 members),Yes,Cultural/Festival,Evening (4:00 PM - 8:00 PM),Tuesday,"Listservs,Instagram/Social media,Word of mouth",80,30
Large (200+ members),Yes,Cultural/Festival,"Evening (4:00 PM - 8:00 PM),Night (8:00 PM onwards)",Saturday,"Listservs,Instagram/Social media,Word of mouth",300,250
Medium (50-200 members),Yes,Social/Networking Event,Night (8:00 PM onwards),Saturday,"Listservs,Word of mouth",300,150
Large (200+ members),Yes,Social/Networking Event,Night (8:00 PM onwards),Tuesday,"Listservs,Instagram/Social media,Word of mouth",60,75
Large (200+ members),Yes,Social/Networking Event,Night (8:00 PM onwards),Tuesday,"Listservs,Instagram/Social media,Word of mouth",50,65
Large (200+ members),Yes,Social/Networking Event,Night (8:00 PM onwards),Tuesday,"Listservs,Instagram/Social media,Word of mouth",60,80
Large (200+ members),Yes,Social/Networking Event,Night (8:00 PM onwards),Tuesday,"Listservs,Instagram/Social media,Word of mouth",70,90
